,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Druck/Zwang,0,0,0,0,0,0,0,0,0,0
"Entschädigung, Wiedergutmachung etc.",0,0,0,0,0,0,0,0,0,0
Loyalität mit dem Täter,0,0,0,0,0,0,0,0,0,0
"Maßnahme, Strafe",0,0,0,2,0,3,0,0,3,8
Neutralisierung,0,0,0,0,0,0,0,0,0,0
Schweigegebot,0,0,0,0,0,0,0,0,0,0
Solidarisierung mit Betroffenen,0,0,0,1,0,0,0,0,0,1
Verschleierung,0,0,0,0,0,0,0,0,0,0
Verzögerung,0,0,0,0,0,0,0,0,0,0
Victim Blaming (Bistum),0,0,0,0,0,0,0,0,0,0
Vorgehen allgemein,0,0,0,0,0,1,0,0,0,1
keine Konsequenzen,0,0,0,0,0,1,0,0,0,1
Sum,0,0,0,3,0,5,0,0,3,11
