,Anbahnung,Durchführung,Geständnis,Schritte der Wiedergutmachung,Sonstige Vertuschung,Vertuschung,Weiteres Handeln der Beschuldigten,Sum
Dummheit,0,0,0,0,0,0,0,0
Gefahr für priesterliches Ansehen,0,0,0,0,0,0,0,0
Kirchenrechtlich,0,0,0,0,0,0,0,0
Liebesbeziehung,0,0,1,0,0,1,0,2
Missbrauch,4,0,0,0,0,0,0,4
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0,0,0
Strafrechtlich,0,0,0,0,0,0,0,0
Verhältnis nicht weiter spezifiziert,0,0,0,0,0,0,0,0
Verstoß gegen 6. Gebot,0,0,0,0,0,0,0,0
Weitere Framings,0,0,0,0,0,0,0,0
Zölibatsverstoß,0,0,0,0,0,0,0,0
der Frau,0,0,0,0,0,1,0,1
durch Frau,0,0,1,0,1,0,0,2
moralische Verurteilung,0,0,0,0,0,0,0,0
sexuelle Handlungen,0,0,0,0,0,0,0,0
unerheblich,0,0,0,0,0,1,0,1
verklausuliert,0,0,0,0,0,0,0,0
"Übergriff, Gewalt etc.",0,0,0,0,0,0,0,0
Sum,4,0,2,0,1,3,0,10
