,Abwehr,Disclosure privat,Solidarisierung mit den beschuldigten (Betroffene),Verzicht auf Meldung (Betroffene),Weiteres Handeln der Betroffenen,Sum
Dummheit,0,0,0,0,0,0
Gefahr für priesterliches Ansehen,0,0,0,0,0,0
Kirchenrechtlich,0,0,0,0,0,0
Missbrauch,1,0,0,0,0,1
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0
Strafrechtlich,0,0,0,0,0,0
Verführung,0,0,0,0,0,0
Verhältnis,0,0,0,0,0,0
Verstoß gegen 6. Gebot,0,0,0,0,0,0
Weitere Framings,0,0,0,0,0,0
Zölibatsverstoß,0,0,0,0,0,0
moralische Verurteilung,0,0,0,0,0,0
unerheblich,0,0,0,0,0,0
verklausuliert,0,0,0,0,0,0
"Übergriff, Gewalt etc.",0,0,0,0,0,0
Sum,1,0,0,0,0,1
